year,model,female_coef,female_se,female_pvalue,r_squared,n_obs,controls
2014,M1,-0.22601572210224538,0.0013537918534960178,0.0,0.28134037716489435,863376,female + age + age_sq + C(race_ethnicity) + C(education_level)
2014,M2,-0.21356519410542835,0.0013537321773990155,0.0,0.29568419405697854,863376,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips)
2014,M3,-0.14449758195775741,0.001520004291115906,0.0,0.48021328786803497,863376,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker)
2014,M4,-0.15254679209428648,0.0015316475732618622,0.0,0.4812174464889297,863375,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way
2014,M5,-0.14939477089147468,0.0015871501659213397,0.0,0.4857073916575637,863375,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5
2014,M6_reproductive,-0.12834346477308203,0.0018247556529501715,0.0,0.4863756211657765,863375,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage)
2014,M7_onet_context,-0.12921097155034805,0.0018366276425631246,0.0,0.4874293142201088,854105,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity
2014,M8_reproductive_x_job_context,0.6992651599861882,0.03770797537459787,9.402045771618965e-77,0.48836585150575174,854105,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity + female_x_recent_birth + female_x_own_child_under6 + female_x_recent_marriage + female_x_same_sex_couple_household + female_x_autonomy + female_x_job_rigidity + female_x_own_child_under6_x_job_rigidity
2015,M0,-0.1792350913003771,0.0015816367192940186,0.0,0.014598322396582986,866850,female
2015,M1,-0.24203127000007635,0.00139067740975802,0.0,0.2520910050388139,866850,female + age + age_sq + C(race_ethnicity) + C(education_level)
2015,M2,-0.24019587723821398,0.0013785966509131406,0.0,0.2654030064128482,866850,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips)
2015,M3,-0.14535143687470747,0.0015291535682842704,0.0,0.40129226231008197,866850,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker)
2015,M4,-0.15006029338906024,0.0015367886266967684,0.0,0.4046034895153897,866850,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way
2015,M5,-0.15253951063592708,0.0015961521201781944,0.0,0.40890361650895324,866850,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5
